"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"536540","22968","ROSE_COTTAGE_KEEPSAKE_BOX",4,2010-12-01,9.95,14911,"EIRE"
"536540","85071A","BLUE_CHARLIE+LOLA_PERSONAL_DOORSIGN",6,2010-12-01,2.95,14911,"EIRE"
"536540","85071C","CHARLIE+LOLA""EXTREMELY_BUSY""_SIGN",6,2010-12-01,2.55,14911,"EIRE"
"536540","22355","CHARLOTTE_BAG_SUKI_DESIGN",50,2010-12-01,0.85,14911,"EIRE"
"536540","21579","LOLITA__DESIGN__COTTON_TOTE_BAG",6,2010-12-01,2.25,14911,"EIRE"
"536540","21576","LETS_GO_SHOPPING_COTTON_TOTE_BAG",6,2010-12-01,2.25,14911,"EIRE"
"536540","22147","FELTCRAFT_BUTTERFLY_HEARTS",12,2010-12-01,1.45,14911,"EIRE"
"536540","22150","3_STRIPEY_MICE_FELTCRAFT",12,2010-12-01,1.95,14911,"EIRE"
"536540","22492","MINI_PAINT_SET_VINTAGE",36,2010-12-01,0.65,14911,"EIRE"
"536540","22493","PAINT_YOUR_OWN_CANVAS_SET",24,2010-12-01,1.65,14911,"EIRE"
"536540","21833","CAMOUFLAGE_LED_TORCH",12,2010-12-01,1.69,14911,"EIRE"
"536540","85135B","BLUE_DRAGONFLY_HELICOPTER",2,2010-12-01,7.95,14911,"EIRE"
"536540","85136A","YELLOW_SHARK_HELICOPTER",2,2010-12-01,7.95,14911,"EIRE"
"536540","85136C","RED_SHARK_HELICOPTER",2,2010-12-01,7.95,14911,"EIRE"
"536540","21055","TOOL_BOX_SOFT_TOY",4,2010-12-01,8.95,14911,"EIRE"
"536540","21056","DOCTOR'S_BAG_SOFT_TOY",4,2010-12-01,8.95,14911,"EIRE"
"536540","21889","WOODEN_BOX_OF_DOMINOES",24,2010-12-01,1.25,14911,"EIRE"
"536540","21891","TRADITIONAL_WOODEN_SKIPPING_ROPE",12,2010-12-01,1.25,14911,"EIRE"
"536540","22622","BOX_OF_VINTAGE_ALPHABET_BLOCKS",6,2010-12-01,9.95,14911,"EIRE"
"536540","C2","CARRIAGE",1,2010-12-01,50,14911,"EIRE"
"536541","21915","RED__HARMONICA_IN_BOX",12,2010-12-01,1.25,14911,"EIRE"
"536803","22113","GREY_HEART_HOT_WATER_BOTTLE",6,2010-12-02,3.75,14911,"EIRE"
"536885","21832","CHOCOLATE_CALCULATOR",24,2010-12-03,1.65,NA,"EIRE"
"536885","21523","DOORMAT_FANCY_FONT_HOME_SWEET_HOME",10,2010-12-03,6.75,NA,"EIRE"
"536885","48184","DOORMAT_ENGLISH_ROSE",10,2010-12-03,6.75,NA,"EIRE"
"536885","22837","HOT_WATER_BOTTLE_BABUSHKA",24,2010-12-03,4.65,NA,"EIRE"
"536885","22632","HAND_WARMER_RED_RETROSPOT",12,2010-12-03,2.1,NA,"EIRE"
"536885","22834","HAND_WARMER_BABUSHKA_DESIGN",12,2010-12-03,2.1,NA,"EIRE"
"536885","22867","HAND_WARMER_BIRD_DESIGN",12,2010-12-03,2.1,NA,"EIRE"
"536885","22865","HAND_WARMER_OWL_DESIGN",12,2010-12-03,2.1,NA,"EIRE"
"536885","22866","HAND_WARMER_SCOTTY_DOG_DESIGN",12,2010-12-03,2.1,NA,"EIRE"
"536885","22312","OFFICE_MUG_WARMER_POLKADOT",36,2010-12-03,2.95,NA,"EIRE"
"536885","51014C","FEATHER_PEN,COAL_BLACK",36,2010-12-03,0.85,NA,"EIRE"
"536890","17090A","LAVENDER_INCENSE_40_CONES_IN_TIN",36,2010-12-03,0.85,14156,"EIRE"
"536890","17084R","ASSORTED_INCENSE_PACK",1440,2010-12-03,0.16,14156,"EIRE"
"536890","17091J","VANILLA_INCENSE_IN_TIN",72,2010-12-03,0.85,14156,"EIRE"
"536975","84352","SILVER_CHRISTMAS_TREE_BAUBLE_STAND",1,2010-12-03,16.95,14911,"EIRE"
"536975","22948","METAL_DECORATION_NAUGHTY_CHILDREN",24,2010-12-03,0.85,14911,"EIRE"
"536975","22945","CHRISTMAS_METAL_TAGS_ASSORTED",36,2010-12-03,0.85,14911,"EIRE"
"536975","22944","CHRISTMAS_METAL_POSTCARD_WITH_BELLS",24,2010-12-03,1.25,14911,"EIRE"
"536975","22158","3_HEARTS_HANGING_DECORATION_RUSTIC",8,2010-12-03,2.95,14911,"EIRE"
"536975","22572","ROCKING_HORSE_GREEN_CHRISTMAS",12,2010-12-03,0.85,14911,"EIRE"
"536975","22571","ROCKING_HORSE_RED_CHRISTMAS",12,2010-12-03,0.85,14911,"EIRE"
"536975","22246","GARLAND,_MAGIC_GARDEN_1.8M",12,2010-12-03,1.95,14911,"EIRE"
"536975","22910","PAPER_CHAIN_KIT_VINTAGE_CHRISTMAS",6,2010-12-03,2.95,14911,"EIRE"
"536975","22086","PAPER_CHAIN_KIT_50'S_CHRISTMAS",6,2010-12-03,2.95,14911,"EIRE"
"536975","20668","DISCO_BALL_CHRISTMAS_DECORATION",48,2010-12-03,0.12,14911,"EIRE"
"536975","22909","SET_OF_20_VINTAGE_CHRISTMAS_NAPKINS",24,2010-12-03,0.85,14911,"EIRE"
